03_02_眞正の改良	OH_KC	1730	1750	I	思ふ	思う	オモウ	動詞-一般	五段-ワア行	終止形-一般	オモウ	和
03_02_眞正の改良	OH_KC	1750	1760	I	に	に	ニ	助詞-格助詞			ニ	和
03_02_眞正の改良	OH_KC	1760	1780	I	堪へ	耐える	タエル	動詞-一般	下一段-ア行	未然形-一般	タエ	和
03_02_眞正の改良	OH_KC	1780	1790	I	ず	ず	ズ	助動詞	助動詞-ヌ	連用形-一般	ズ	和
03_02_眞正の改良	OH_KC	1790	1800	I	口	口	クチ	名詞-普通名詞-一般			クチ	和
03_02_眞正の改良	OH_KC	1800	1810	I	之	此れ	コレ	代名詞			コレ	和
03_02_眞正の改良	OH_KC	1810	1820	I	を	を	ヲ	助詞-格助詞			オ	和
03_02_眞正の改良	OH_KC	1820	1840	I	言ふ	言う	イウ	動詞-一般	五段-ワア行	終止形-一般	イウ	和
03_02_眞正の改良	OH_KC	1840	1850	I	に	に	ニ	助詞-格助詞			ニ	和
03_02_眞正の改良	OH_KC	1850	1870	I	忍び	忍びる	シノビル	動詞-一般	上一段-バ行	未然形-一般	シノビ	和
03_02_眞正の改良	OH_KC	1870	1880	I	ず	ず	ズ	助動詞	助動詞-ヌ	終止形-一般	ズ	和
03_02_眞正の改良	OH_KC	1880	1890	B	と	と	ト	助詞-格助詞			ト	和
03_02_眞正の改良	OH_KC	1890	1910	I	いふ	言う	イウ	動詞-一般	五段-ワア行	連体形-一般	イウ	和
03_02_眞正の改良	OH_KC	1910	1930	I	こと	事	コト	名詞-普通名詞-一般			コト	和
03_02_眞正の改良	OH_KC	1930	1940	I	で	だ	ダ	助動詞	助動詞-ダ	連用形-一般	デ	和
03_02_眞正の改良	OH_KC	1940	1970	I	あらう	有る	アル	動詞-非自立可能	五段-ラ行	意志推量形	アロー	和
03_02_眞正の改良	OH_KC	1970	1980	I	と	と	ト	助詞-格助詞			ト	和
